0,1,2,3,4,5
1,OLD,20209161,언더워터,161107580,18175
2,OLD,20179462,위대한 쇼맨,86864240,13731
3,OLD,20207893,프리즌 이스케이프,102086940,11879
4,OLD,20207501,그집,43201900,4777
5,OLD,20208122,카페 벨에포크,35641860,4055
6,OLD,20208264,미스비헤이비어,29259520,3347
7,OLD,20196782,초미의 관심사,20963200,2496
8,OLD,20209029,아홉 스님,12403200,1816
9,OLD,20208282,더 플랫폼,16773300,1760
10,OLD,20173226,패왕별희 디 오리지널,13574560,1338
1,OLD,20179462,위대한 쇼맨,104883200,16842
2,OLD,20207893,프리즌 이스케이프,134574680,15003
3,OLD,20208122,카페 벨에포크,58586060,6482
4,OLD,20208282,더 플랫폼,43900900,4468
5,OLD,20189987,킬러의 보디가드 무삭제 특별판,27195800,3010
6,OLD,20190280,날씨의 아이,20955800,2347
7,OLD,20173226,패왕별희 디 오리지널,24012420,2303
8,OLD,20205402,트롤: 월드 투어,17499580,2254
9,OLD,20208686,콜 오브 와일드,18592720,2129
10,OLD,20208663,라스트 풀 메저,16655820,1970
1,OLD,20207893,프리즌 이스케이프,135228640,14963
2,OLD,20208282,더 플랫폼,76122600,7783
3,OLD,20208686,콜 오브 와일드,59582040,6714
4,OLD,20207341,레이니 데이 인 뉴욕,38488200,4179
5,OLD,20205402,트롤: 월드 투어,29737100,3781
6,OLD,20173226,패왕별희 디 오리지널,28196000,2993
7,OLD,20113252,톰보이,27675540,2954
8,OLD,20207722,저 산 너머,22697160,2746
9,NEW,20196272,미드웨이,10000000,2000
10,OLD,20204501,레미제라블: 뮤지컬 콘서트,27279620,1906
1,OLD,20207341,레이니 데이 인 뉴욕,113359800,12161
2,OLD,20207893,프리즌 이스케이프,78244840,8777
3,OLD,20205402,트롤: 월드 투어,64160840,8115
4,OLD,20207722,저 산 너머,45326080,5653
5,OLD,20173226,패왕별희 디 오리지널,50543540,5474
6,OLD,20197397,나의 청춘은 너의 것,34959780,3903
7,OLD,20181685,호텔 레이크,33968940,3821
8,OLD,20192399,1917,27361380,2959
9,OLD,20206441,마이 스파이,24045500,2570
10,OLD,20167904,라라랜드,11528120,2255
1,OLD,20205402,트롤: 월드 투어,87163120,11115
2,OLD,20197397,나의 청춘은 너의 것,66494180,7499
3,OLD,20181685,호텔 레이크,61159000,6856
4,OLD,20173226,패왕별희 디 오리지널,61865020,6618
5,OLD,20207722,저 산 너머,53843200,6419
6,OLD,20206441,마이 스파이,53474800,5793
7,OLD,20184889,어벤져스: 엔드게임,40021420,5656
8,OLD,20192399,1917,44541220,4887
9,OLD,20167904,라라랜드,17631800,3429
10,OLD,20177478,어벤져스: 인피니티 워,16763240,2250
1,OLD,20192399,1917,55693360,6313
2,OLD,20167904,라라랜드,32074800,6213
3,OLD,20124721,어벤져스,14951020,2406
4,OLD,20196716,유령선,21513900,2333
5,OLD,20206865,애프터 웨딩 인 뉴욕 ,19132780,2194
6,OLD,20148493,어벤져스: 에이지 오브 울트론,13203220,2183
7,OLD,20206190,서치 아웃,18074900,2021
8,OLD,19888010,시네마 천국,7330000,1446
9,OLD,20204741,비밀정보원: 인 더 프리즌 ,11887280,1373
10,OLD,20190280,날씨의 아이,7595480,1256
1,OLD,20167904,라라랜드,32696080,6387
2,OLD,20192399,1917,56773680,6263
3,OLD,20206190,서치 아웃,47446920,5235
4,OLD,20206021,건즈 아킴보,37268000,3994
5,OLD,20204741,비밀정보원: 인 더 프리즌 ,23767160,2662
6,OLD,20206402,오픈 더 도어 ,22341000,2339
7,OLD,20205262,엽문4: 더 파이널,19581500,2189
8,OLD,20196716,유령선,17594300,1945
9,OLD,20206447,라라걸,13506540,1541
10,OLD,20128274,레미제라블,6749500,1335
1,OLD,20192399,1917,66975860,7352
2,OLD,20205262,엽문4: 더 파이널,47633600,5204
3,OLD,20206402,오픈 더 도어 ,35382700,3709
4,OLD,20204107,주디,26369260,2870
5,OLD,20199842,인비저블맨,25888980,2752
6,OLD,20206446,n번째 이별 중,16601700,1731
7,OLD,20167904,라라랜드,7903400,1515
8,OLD,20190280,날씨의 아이,11153840,1152
9,OLD,20205902,신과 나: 100일간의 거래,9471880,1065
10,OLD,20176767,"나는 내일, 어제의 너와 만난다",4027000,800
1,OLD,20205262,엽문4: 더 파이널,68939900,7576
2,OLD,20192399,1917,47927660,5213
3,OLD,20204107,주디,31395960,3509
4,OLD,20199842,인비저블맨,28839040,3076
5,OLD,20206446,n번째 이별 중,23999000,2520
6,OLD,20205841,더 터닝 ,21810200,2362
7,OLD,20205708,스케어리 스토리:어둠의 속삭임 ,16469680,1759
8,OLD,20167904,라라랜드,12796580,1412
9,OLD,20204791,다크 워터스 ,4963840,569
10,OLD,20190280,날씨의 아이,5390000,562
1,OLD,20204107,주디,74770340,8544
2,OLD,20192399,1917,66239400,7544
3,OLD,20199842,인비저블맨,65722100,7320
4,OLD,20205708,스케어리 스토리:어둠의 속삭임 ,40464000,4267
5,OLD,20167904,라라랜드,26316740,2954
6,OLD,20204791,다크 워터스 ,22180080,2518
7,OLD,20190280,날씨의 아이,18970860,1906
8,OLD,20206424,사랑하고 있습니까,15114520,1744
9,OLD,20193321,정직한 후보,10427260,1565
10,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,11884560,1350
1,OLD,20199842,인비저블맨,141522200,15438
2,OLD,20192399,1917,112096660,12275
3,OLD,20204791,다크 워터스 ,65306900,7190
4,OLD,20193321,정직한 후보,24769200,4032
5,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,25822640,2840
6,OLD,20192240,작은 아씨들,18911880,2170
7,OLD,20180523,스타 이즈 본,10525280,2069
8,OLD,20205096,세인트 아가타 ,17928700,1938
9,OLD,20135428,어바웃 타임,6567000,1288
10,OLD,20167542,분노의 질주: 더 익스트림,11855500,1188
1,OLD,20199842,인비저블맨,189792900,20560
2,OLD,20204791,다크 워터스 ,148255220,16338
3,OLD,20192399,1917,136005300,14834
4,OLD,20180962,지푸라기라도 잡고 싶은 짐승들,49640340,5393
