0,1,2,3,4,5,6,7,8,9
20209161,언더워터,,Underwater,"[{'auditNo': '2020-MF00749', 'watchGradeNm': '15세이상관람가'}]",20200527,2019,94,[{'genreNm': '스릴러'}],"[{'peopleNm': '윌리엄 유뱅크', 'peopleNmEn': 'William Eubank'}]"
20179462,위대한 쇼맨,,The Greatest Showman,"[{'auditNo': '2017-MF02139', 'watchGradeNm': '12세이상관람가'}]",20171220,2017,104,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]","[{'peopleNm': '마이클 그레이시', 'peopleNmEn': 'Michael Gracey'}]"
20207893,프리즌 이스케이프,,ESCAPE FROM PRETORIA,"[{'auditNo': '2020-MF00874', 'watchGradeNm': '12세이상관람가'}]",20200506,2020,106,"[{'genreNm': '어드벤처'}, {'genreNm': '스릴러'}]",[]
20207501,그집,Malasaña 32,32 Malasana Street,"[{'auditNo': '2020-MF00948', 'watchGradeNm': '15세이상관람가'}]",20200527,2020,104,"[{'genreNm': '공포(호러)'}, {'genreNm': '스릴러'}]",[]
20208122,카페 벨에포크,,La belle epoque,"[{'auditNo': '2020-MF00305 ', 'watchGradeNm': '15세이상관람가'}]",20200520,2019,115,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]","[{'peopleNm': '니콜라스 베도스', 'peopleNmEn': 'Nicolas Bedos'}]"
20208264,미스비헤이비어,,MISBEHAVIOUR,"[{'auditNo': '2020-MF00819 ', 'watchGradeNm': '15세이상관람가'}]",20200527,2020,106,[{'genreNm': '드라마'}],"[{'peopleNm': '필립파 로소프', 'peopleNmEn': 'Philippa Lowthorpe'}]"
20196782,초미의 관심사,,Jazzy Misfits,"[{'auditNo': '2020-MF00684', 'watchGradeNm': '15세이상관람가'}]",20200527,2019,92,[{'genreNm': '드라마'}],"[{'peopleNm': '남연우', 'peopleNmEn': 'NAM Yeon-woo'}]"
20209029,아홉 스님,,,"[{'auditNo': '2020-MF01016', 'watchGradeNm': '전체관람가'}]",20200527,2020,71,[{'genreNm': '드라마'}],"[{'peopleNm': '윤성준', 'peopleNmEn': ''}]"
20208282,더 플랫폼,El Hoyo,The Platform,"[{'auditNo': '2020-MF00821', 'watchGradeNm': '청소년관람불가'}]",20200513,2019,94,"[{'genreNm': 'SF'}, {'genreNm': '스릴러'}]",[]
20173226,패왕별희 디 오리지널,,Farewell My Concubine,"[{'auditNo': '2016-MF01276', 'watchGradeNm': '15세이상관람가'}]",20170330,1993,171,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '첸 카이거', 'peopleNmEn': 'Kaige Chen'}]"
20179462,위대한 쇼맨,,The Greatest Showman,"[{'auditNo': '2017-MF02139', 'watchGradeNm': '12세이상관람가'}]",20171220,2017,104,"[{'genreNm': '드라마'}, {'genreNm': '뮤지컬'}]","[{'peopleNm': '마이클 그레이시', 'peopleNmEn': 'Michael Gracey'}]"
20207893,프리즌 이스케이프,,ESCAPE FROM PRETORIA,"[{'auditNo': '2020-MF00874', 'watchGradeNm': '12세이상관람가'}]",20200506,2020,106,"[{'genreNm': '어드벤처'}, {'genreNm': '스릴러'}]",[]
20208122,카페 벨에포크,,La belle epoque,"[{'auditNo': '2020-MF00305 ', 'watchGradeNm': '15세이상관람가'}]",20200520,2019,115,"[{'genreNm': '코미디'}, {'genreNm': '드라마'}]","[{'peopleNm': '니콜라스 베도스', 'peopleNmEn': 'Nicolas Bedos'}]"
20208282,더 플랫폼,El Hoyo,The Platform,"[{'auditNo': '2020-MF00821', 'watchGradeNm': '청소년관람불가'}]",20200513,2019,94,"[{'genreNm': 'SF'}, {'genreNm': '스릴러'}]",[]
20189987,킬러의 보디가드 무삭제 특별판,,The Hitman's Bodyguard,"[{'auditNo': '2018-MF01307', 'watchGradeNm': '청소년관람불가'}]",20180912,2017,125,"[{'genreNm': '액션'}, {'genreNm': '코미디'}]","[{'peopleNm': '패트릭 휴즈', 'peopleNmEn': 'Patrick Hughes'}]"
20190280,날씨의 아이,,Weathering With You,"[{'auditNo': '2019-MF01942', 'watchGradeNm': '15세이상관람가'}]",20191030,2019,112,"[{'genreNm': '애니메이션'}, {'genreNm': '판타지'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '신카이 마코토', 'peopleNmEn': 'Makoto Shinkai'}]"
20173226,패왕별희 디 오리지널,,Farewell My Concubine,"[{'auditNo': '2016-MF01276', 'watchGradeNm': '15세이상관람가'}]",20170330,1993,171,"[{'genreNm': '드라마'}, {'genreNm': '멜로/로맨스'}]","[{'peopleNm': '첸 카이거', 'peopleNmEn': 'Kaige Chen'}]"
20205402,트롤: 월드 투어,,Trolls World Tour,"[{'auditNo': '2020-MF00557 ', 'watchGradeNm': '전체관람가'}]",20200429,2020,90,"[{'genreNm': '애니메이션'}, {'genreNm': '어드벤처'}, {'genreNm': '코미디'}]","[{'peopleNm': '월트 도른', 'peopleNmEn': 'Walt Dohrn'}, {'peopleNm': '데이빗 P.스미스', 'peopleNmEn': 'David P. Smith'}]"
20208686,콜 오브 와일드,,The Call of the Wild,"[{'auditNo': '2020-MF00750', 'watchGradeNm': '12세이상관람가'}]",20200514,2019,99,"[{'genreNm': '어드벤처'}, {'genreNm': '드라마'}, {'genreNm': '가족'}]","[{'peopleNm': '크리스 샌더스', 'peopleNmEn': 'Chris Sanders'}]"
